12:58:08 §7   ■ §r§f§r§7§r§fPlace all Crystals at the statues.
12:58:24 §7   ■ §r§f§r§7§r§fA familiar-looking place rich with Jade Gemstones.
12:58:25 §7   ■ §r§f§r§7§r§fFear entering the mines.
12:58:25 §7   ■ §r§f§r§7§r§fThe dwarves delved too greedily and too deep.
12:58:25 §7   ■ §r§f§r§7§r§fTreasures piled high, who knows what lies beneath.
13:03:26 §7   ■ §r§f§r§7§r§fFight Sludges.
13:03:26 §7   ■ §r§f§r§7§r§fMine Amethyst Gemstones.
13:03:26 §7   ■ §r§f§r§7§r§fMeet the local tribe!
13:08:14 §7   ■ §r§f§r§7§r§fFind Topaz Gemstones.
13:08:14 §7   ■ §r§f§r§7§r§fWatch your temperature!
13:26:01 §7   ■ §r§f§r§7§r§fA vast and sprawling underground civilization.
13:26:01 §7   ■ §r§f§r§7§r§fTemples and puzzles hide their treasures.
13:26:01 §7   ■ §r§f§r§7§r§f...and§r§7 deep secrets.
13:32:55 §7   ■ §r§f§r§7§r§fHome of Goblins.
13:32:55 §7   ■ §r§f§r§7§r§fRich with Amber Gemstones.
13:37:48 §7   ■ §r§f§r§7§r§fA peaceful place perfect for mining Jasper Gemstones.
14:28:21 §7   ■ §r§f§r§7§r§fMine Sapphire Gemstones.
14:28:21 §7   ■ §r§f§r§7§r§fLook out for Automatons!
15:01:30 §7   ■ §r§f§r§7§r§fAncient machines protecting ancient cities that hide ancient
15:01:30    §r§f§r§fsecrets.
15:22:47 §7   ■ §r§f§r§7§r§fBuried deep underground away from prying eyes.
15:22:47 §7   ■ §r§f§r§7§r§fThe mythic Goblin Queen lays in wait.
15:22:47 §7   ■ §r§f§r§7§r§fShe seeks replacements for her now missing King...
