15:57:41 Reset everything (world change)
15:57:59 Reset everything (world change)
15:58:19 Reset everything (world change)
15:58:19 Reset everything (world change)
15:58:19 Reset everything (world change)
16:04:34 Reset everything (world change)
16:04:35 Reset everything (world change)
16:04:35 Reset everything (world change)
16:51:35 Reset everything (world change)
16:51:50 Reset everything (world change)
16:51:50 Reset everything (world change)
16:51:51 Reset everything (world change)
16:52:37 Reset everything (world change)
16:52:38 Reset everything (world change)
16:52:38 Reset everything (world change)
16:54:52 Reset everything (world change)
16:54:52 Reset everything (world change)
16:54:52 Reset everything (world change)
16:57:02 Reset everything (world change)
16:57:03 Reset everything (world change)
16:57:03 Reset everything (world change)
16:58:39 Added enderman with beacon at LorenzVec{x=-523.90625, y=38.0, z=-245.9375}
16:58:51 Added flying beacons at LorenzVec{x=-524.15625, y=38.5625, z=-250.40625}
16:58:52 Replaced flying beacon with sitting beacon at LorenzVec{x=-516.0, y=39.0, z=-250.0}
16:58:52 Added flying beacons at LorenzVec{x=-517.09375, y=38.88541666666667, z=-249.67708333333331}
16:58:53 Removed sitting beacon LorenzVec{x=-516.0, y=39.0, z=-250.0}
16:59:21 Reset everything (world change)
16:59:21 Reset everything (world change)
16:59:21 Reset everything (world change)
16:59:22 Reset everything (world change)
16:59:22 Reset everything (world change)
16:59:27 Reset everything (world change)
16:59:28 Reset everything (world change)
16:59:28 Reset everything (world change)
17:01:23 Added enderman with beacon at LorenzVec{x=-569.3958333333334, y=51.0, z=-237.125}
17:01:25 Added flying beacons at LorenzVec{x=-567.6458333333334, y=50.760416666666664, z=-228.875}
17:01:26 Replaced flying beacon with sitting beacon at LorenzVec{x=-561.0, y=51.0, z=-235.0}
17:01:26 Added flying beacons at LorenzVec{x=-562.2395833333333, y=51.01041666666667, z=-233.14583333333331}
17:01:28 Removed sitting beacon LorenzVec{x=-561.0, y=51.0, z=-235.0}
17:01:31 Added enderman with beacon at LorenzVec{x=-567.1979166666667, y=51.0, z=-237.32291666666669}
17:01:34 Added flying beacons at LorenzVec{x=-566.3645833333334, y=50.802083333333336, z=-232.6875}
17:01:39 Added enderman with beacon at LorenzVec{x=-565.03125, y=51.0625, z=-236.0}
17:01:41 Added flying beacons at LorenzVec{x=-568.0625, y=50.5625, z=-233.0625}
17:01:42 Replaced flying beacon with sitting beacon at LorenzVec{x=-572.0, y=51.0, z=-241.0}
17:01:42 Added flying beacons at LorenzVec{x=-571.0104166666667, y=50.75, z=-239.40625}
17:01:43 Removed sitting beacon LorenzVec{x=-572.0, y=51.0, z=-241.0}
17:01:47 Added enderman with beacon at LorenzVec{x=-567.1875, y=51.15625, z=-232.53125}
17:01:49 Added flying beacons at LorenzVec{x=-575.5625, y=50.739583333333336, z=-235.60416666666666}
17:01:50 Replaced flying beacon with sitting beacon at LorenzVec{x=-581.0, y=51.0, z=-227.0}
17:01:50 Added flying beacons at LorenzVec{x=-579.8854166666667, y=50.63541666666667, z=-227.65625}
17:01:51 Removed sitting beacon LorenzVec{x=-581.0, y=51.0, z=-227.0}
17:01:55 Added enderman with beacon at LorenzVec{x=-571.5918209876543, y=51.0, z=-239.3672839506173}
17:01:57 Added flying beacons at LorenzVec{x=-571.40625, y=50.78125, z=-241.64583333333334}
17:01:58 Replaced flying beacon with sitting beacon at LorenzVec{x=-576.0, y=51.0, z=-235.0}
17:01:58 Added flying beacons at LorenzVec{x=-574.78125, y=50.79166666666667, z=-235.79166666666669}
17:01:59 Removed sitting beacon LorenzVec{x=-576.0, y=51.0, z=-235.0}
17:02:03 Added enderman with beacon at LorenzVec{x=-578.4039351851852, y=51.0, z=-238.98842592592592}
17:02:20 Added flying beacons at LorenzVec{x=-565.46875, y=50.739583333333336, z=-234.58333333333334}
17:02:21 Replaced flying beacon with sitting beacon at LorenzVec{x=-571.0, y=51.0, z=-226.0}
17:02:21 Added flying beacons at LorenzVec{x=-569.875, y=50.65625, z=-226.66666666666669}
17:02:22 Removed sitting beacon LorenzVec{x=-571.0, y=51.0, z=-226.0}
17:02:26 Added enderman with beacon at LorenzVec{x=-567.5, y=51.0, z=-231.0625}
17:02:28 Added flying beacons at LorenzVec{x=-573.8645833333334, y=50.75, z=-237.45833333333334}
17:02:29 Replaced flying beacon with sitting beacon at LorenzVec{x=-565.0, y=51.0, z=-241.0}
17:02:29 Added flying beacons at LorenzVec{x=-565.9583333333334, y=50.739583333333336, z=-240.05208333333334}
17:02:30 Removed sitting beacon LorenzVec{x=-565.0, y=51.0, z=-241.0}
17:02:34 Added enderman with beacon at LorenzVec{x=-569.40625, y=51.09375, z=-236.25}
17:02:36 Added flying beacons at LorenzVec{x=-568.59375, y=50.5, z=-235.65625}
17:02:37 Replaced flying beacon with sitting beacon at LorenzVec{x=-567.0, y=51.0, z=-228.0}
