08:35:14 [allowed] §b§m--------------§r§f  §r§aGuild: Message Of The Day  §r§b§m--------------
08:35:14 [allowed] §b| §r§f[22] [MVP+] Sebbebas Ⓑ: you should give me foraging 50 on my main
08:35:14 [allowed] §b| §r§f[22] [MVP+] Sebbebas Ⓑ: wink wink
08:35:14 [allowed] §b| §r§f[300] [ADMIN] LadyBleu: you almost had iit until you winked
08:35:14 [allowed] §b| §r§f[22] [MVP+] Sebbebas Ⓑ: :(
08:35:14 [allowed] §b| §r§f[300] [ADMIN] LadyBleu: biig mistaake
08:35:14 [allowed] §b§m-----------------------------------------------------
08:35:14 [allowed] §aYou have §b17 §aunclaimed leveling rewards!
08:35:14 [allowed] §eClick here to view them!
08:35:21 [allowed] §8[§r§719§r§8] §r§7L__awa§7§r§7: uhh i need to reach 3 now :<
08:35:23 [allowed] §cYou are sending commands too fast! Please slow down.
08:35:23 [allowed] §6§lBONUS! §r§bTemporarily earn §r§a5% §r§bmore skill experience!
08:35:23 [allowed] §eLatest update: §bSkyBlock v0.20.5 §e§lCLICK
08:35:24 [allowed] §aThe wind has changed direction!
08:35:25 [allowed] §6§lALLOWANCE! §r§eYou earned §r§650,000 coins§r§e!
08:35:28 [allowed] §cThere are blocks in the way!
08:35:35 [allowed] §cThere are blocks in the way!
08:35:42 [allowed] §8[§r§b222§r§8] §r§6§lᛝ §r§a[VIP] ThousandZword§f§r§f: yep
08:35:49 [allowed] §8[§r§9308§r§8] §r§b§lᛝ §r§a[VIP] EclipsGamer§f§r§f: nop, you needa reach 5 since the devs are changing it on alpha :)
08:35:59 [allowed] §8[§r§719§r§8] §r§7L__awa§7§r§7: nooo
08:36:07 [allowed] §b§m--------------§r§f  §r§aGuild: Message Of The Day  §r§b§m--------------
08:36:07 [allowed] §b| §r§f[22] [MVP+] Sebbebas Ⓑ: you should give me foraging 50 on my main
08:36:07 [allowed] §b| §r§f[22] [MVP+] Sebbebas Ⓑ: wink wink
08:36:07 [allowed] §b| §r§f[300] [ADMIN] LadyBleu: you almost had iit until you winked
08:36:07 [allowed] §b| §r§f[22] [MVP+] Sebbebas Ⓑ: :(
08:36:07 [allowed] §b| §r§f[300] [ADMIN] LadyBleu: biig mistaake
08:36:07 [allowed] §b§m-----------------------------------------------------
08:36:09 [allowed] §cYou are sending commands too fast! Please slow down.
08:36:10 [allowed] §eYou haven't claimed your §r§6Summer Rewards §r§eyet!
08:36:10 [allowed] §eTalk to the §r§bSummer Sloth §r§ein the §r§aHub!
08:36:12 [allowed] §cYou are sending commands too fast! Please slow down.
08:36:12 [allowed] §6§lBONUS! §r§bTemporarily earn §r§a5% §r§bmore skill experience!
08:36:12 [allowed] §eLatest update: §bSkyBlock v0.20.5 §e§lCLICK
08:36:33 [allowed] §aYour spawn location has been set!
08:36:58 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
08:36:59 [allowed] §cAutopet §eequipped your §7[Lvl 92] §5Ocelot§e! §a§lVIEW RULE
08:37:01 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
08:37:01 [allowed] §cAutopet §eequipped your §7[Lvl 92] §5Ocelot§e! §a§lVIEW RULE
08:37:03 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
08:37:04 [allowed] §cAutopet §eequipped your §7[Lvl 92] §5Ocelot§e! §a§lVIEW RULE
08:37:06 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
08:37:06 [allowed] §cAutopet §eequipped your §7[Lvl 92] §5Ocelot§e! §a§lVIEW RULE
08:37:06 [allowed] §aYour §r§5Ocelot §r§aleveled up to level §r§993§r§a!
08:37:08 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
08:37:09 [allowed] §cAutopet §eequipped your §7[Lvl 93] §5Ocelot§e! §a§lVIEW RULE
08:37:10 [allowed] §a§r§6Mining Speed Boost §r§ais now available!
08:37:11 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
08:37:11 [allowed] §cAutopet §eequipped your §7[Lvl 93] §5Ocelot§e! §a§lVIEW RULE
08:37:13 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
08:37:14 [allowed] §cAutopet §eequipped your §7[Lvl 93] §5Ocelot§e! §a§lVIEW RULE
08:37:15 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
08:37:16 [allowed] §cAutopet §eequipped your §7[Lvl 93] §5Ocelot§e! §a§lVIEW RULE
08:37:18 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
