23:18:19 [allowed] §b§m--------------§r§f  §r§aGuild: Message Of The Day  §r§b§m--------------
23:18:19 [allowed] §b| §r§f[22] [MVP+] Sebbebas Ⓑ: you should give me foraging 50 on my main
23:18:19 [allowed] §b| §r§f[22] [MVP+] Sebbebas Ⓑ: wink wink
23:18:19 [allowed] §b| §r§f[300] [ADMIN] LadyBleu: you almost had iit until you winked
23:18:19 [allowed] §b| §r§f[22] [MVP+] Sebbebas Ⓑ: :(
23:18:19 [allowed] §b| §r§f[300] [ADMIN] LadyBleu: biig mistaake
23:18:19 [allowed] §b§m-----------------------------------------------------
23:18:21 [allowed] §cYou are sending commands too fast! Please slow down.
23:18:25 [allowed] §eYou haven't claimed your §r§6Summer Rewards §r§eyet!
23:18:25 [allowed] §eTalk to the §r§bSummer Sloth §r§ein the §r§aHub!
23:18:27 [allowed] §6§lBONUS! §r§bTemporarily earn §r§a5% §r§bmore skill experience!
23:18:27 [allowed] §eLatest update: §bSkyBlock v0.20.5 §e§lCLICK
23:18:27 [allowed] §cYou are sending commands too fast! Please slow down.
23:19:25 [allowed] §a§r§6Mining Speed Boost §r§ais now available!
23:48:00 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
23:48:32 [allowed] §cAutopet §eequipped your §7[Lvl 97] §5Ocelot§e! §a§lVIEW RULE
23:48:34 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
23:48:35 [allowed] §cAutopet §eequipped your §7[Lvl 97] §5Ocelot§e! §a§lVIEW RULE
23:48:37 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
23:48:37 [allowed] §cAutopet §eequipped your §7[Lvl 97] §5Ocelot§e! §a§lVIEW RULE
23:48:40 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
23:48:41 [allowed] §cAutopet §eequipped your §7[Lvl 97] §5Ocelot§e! §a§lVIEW RULE
23:48:42 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
23:48:43 [allowed] §cAutopet §eequipped your §7[Lvl 97] §5Ocelot§e! §a§lVIEW RULE
23:48:45 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
23:48:46 [allowed] §cAutopet §eequipped your §7[Lvl 97] §5Ocelot§e! §a§lVIEW RULE
23:48:47 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
23:48:48 [allowed] §cAutopet §eequipped your §7[Lvl 97] §5Ocelot§e! §a§lVIEW RULE
